"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.923503961375685","0.943452106751637","0.957689140623812","0.985099478619304","1.02515095961268","1.0379927110387","1.05255402021047","1.07303930809882","1.13105385721954","1.13976271032961","1.12596543898612","1.1631416548688","1.1962185144501","1.2086201677997","1.21018332180095","1.23279060241351","1.23756990120625","1.26715769875914","1.29632741475063","1.31001810833896","1.27871241815116","1.30294060707092","1.31780135631561","1.28514099121094","1.30884277820587","1.36231791973114","1.35504460334778","1.35068964958191","1.34903091748438","1.39912938013921","1.34233774245478","",
"Africa Eastern and Southern","AFE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.19749757075501","10.0707319256054","10.9129008458112","11.735787358862","12.2041652214925","14.5600018893242","14.5854818052397","14.1790575059122","14.5451339307295","16.6134779097919","17.2422638894206","17.5094188570492","17.0358776005124","17.0225200169416","17.4458279431472","17.2055580487587","17.1521777363827","17.9496847557063","19.1231702665405","",
"Africa Western and Central","AFW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06422473526651E-08","2.12378066454538E-08","1.19711189788241E-07","1.19018917428261E-06","2.65220960058217E-05","0.00050019311885385","0.0240713827868567","0.0462506838617868","0.0637372675794635","0.413249595128317","2.09328697099462","4.22436913345653","10.0859810555143","19.1808437976603","24.9264790661388","34.4098549257131","39.0930810357394","39.704359078677","46.5015468474549","38.4603787102433","50.0463188322035","64.6057510375977","65.6816711425781","66.0193710327148","65.0006713867188","68.1820449829102","80.7789688110352","92.9517211914063","116.353755427842","136.23846210802","158.896403283531","220.268715322282",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33775606429693","3.0643630738237","9.97650336290398","21.9908043274249","29.248278248022","31.4661730582224","35.4121638418728","38.7245862686367","40.7185409525077","41.1015858692201","42.0252849121175","42.8238770881277","42.9260716334727","44.5932189475413","44.8984927086312","45.5273867721358","44.4122369174032","44.6349647478663","44.5611557679774","44.3380698548843","44.1962143630185","43.8576848821868","43.6552483249241","44.1137386737462","42.8939298406512","42.7057005247646","42.3857268832585","42.2555724939228","42.3029135695296","42.3430728936358","42.4978952573131","42.969258903305",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16828452182659","1.13923145072117","1.13397315095347","1.12187352712645","1.09553458517137","1.1149627159728","1.15812510455908","1.12765070907501","1.06765857553997","1.14171558893742","1.24435934147596","1.18835249640457","1.21423906534629","1.23923037730308","1.30943208186167","1.47944020478094","1.60683288924804","1.76065064029671","2.04768501383589","1.72572429853307","1.9182173245378","2.12660837173462","2.17772459983826","2.21331596374512","2.18256711959839","2.18778467178345","2.18975210189819","2.22179198265076","2.3480294898797","2.20425434872693","1.99585000583087","",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293966424097195","0.683869409620272","0.776094362393905","0.731126714409491","0.73623721421431","0.743940340077583","0.730181312413699","0.714473304039453","0.694473012709146","0.672245111990598","0.664171110696196","0.642419923256386","0.825841640499041","0.894858603233684","1.03149512060945","1.10332152332588","1.21736665520604","1.36242054359774","1.6465299152593","1.88762866713742","2.2553242506938","2.73312783241272","3.21815371513367","3.94096684455872","5.45196390151978","6.86654806137085","9.29496574401855","10.2568216323853","14.2282262088898","21.0961029688732","29.1601470666912","43.1354088529901",
"Armenia","ARM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00513165194854451","0.00890434674147978","0.0582260022430224","0.84814280026879","34.9378142704529","89.3709444793624","104.958537543073","121.479153421784","132.978876646766","131.201490330449","126.532551671598","128.729040287844","129.741633340585","133.08133052586","137.739477492513","137.836880099769","139.885908739834","142.031611767811","147.705785751428","150.430183652354","160.191508483822","163.650009155273","157.963836669922","159.846099853516","165.185897827148","172.923522949219","161.228881835938","155.970703125","156.578046664576","155.465738013434","156.721237796319","160.804583727761",
"American Samoa","ASM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
